word,frequency
what,312
is,4158
truth,137
said,233
jesting,1
pilate,1
[42],1
and,12256
would,352
not,2008
stay,36
for,2960
an,700
answer,32
certainly,92
there,829
be,2806
that,4068
delight,25
in,5269
giddiness,1
count,1
it,3241
a,4153
bondage,2
to,6891
fix,12
belief,25
affecting,6
freewill,2
thinking,15
as,2824
well,412
acting,9
though,237
the,16252
sects,16
of,12330
philosophers,34
kind,180
gone,13
yet,523
remain,33
certain,177
discoursing,3
wits,32
which,2539
are,2032
same,300
veins,5
so,1266
much,437
blood,24
them,938
was,792
those,548
ancients,48
but,2389
only,436
difficulty,21
labor,39
men,662
take,188
finding,14
out,296
nor,260
again,269
when,717
found,126
imposeth,2
upon,734
men’s,104
thoughts,37
doth,223
bring,56
lies,18
favor,26
natural,275
corrupt,34
love,83
lie,28
itself,224
one,664
later,16
schools[43],1
grecians,12
examineth,1
matter,268
at,653
stand,38
think,122
should,406
where,239
neither,147
they,1663
make,313
pleasure,75
with,1528
poets,40
advantage,41
merchant,7
lie’s,1
sake,21
cannot,199
tell,32
this,1159
naked,14
open,67
daylight,2
show,73
masks,2
mummeries,1
triumphs,8
world,151
half,12
stately,11
daintily,4
candle-lights,1
may,699
perhaps,84
come,166
price,17
pearl,1
showeth,11
best,142
by,1945
day,72
will,607
rise,33
diamond,4
or,2557
carbuncle,1
varied,12
lights,8
mixture,25
ever,141
add,36
any,544
man,634
doubt,56
if,889
were,622
taken,71
minds,79
vain,50
opinions,54
flattering,2
hopes,24
false,49
valuations,1
imaginations,13
like,509
leave,49
number,101
poor,14
shrunken,2
things,529
full,75
melancholy,9
indisposition,2
unpleasing,2
themselves,320
fathers,16
[44],1
great,577
severity,16
called,67
poesy,21
“vinum,1
dæmonum,1
”[45],1
because,288
filleth,2
imagination,51
shadow,6
passeth,12
through,85
mind,307
sinketh,3
settleth,1
hurt,28
such,582
we,1485
spake,16
before,203
howsoever,16
these,454
thus,159
depraved,17
judgments,10
affections,47
judge,45
teacheth,9
inquiry,110
love-making,1
wooing,2
knowledge,301
presence,13
enjoying,7
sovereign,18
good,397
human,180
nature,860
first,491
creature,16
god,224
works,116
days,39
light,209
sense,83
[46],2
last,98
reason,173
[47],2
his,1046
sabbath,4
work,125
since,103
illumination,9
spirit,147
he,1175
breathed,2
face,30
chaos,7
then,314
into,485
still,98
breatheth,1
inspireth,2
chosen,15
poet[48],1
beautified,1
sect,17
[49],1
otherwise,67
inferior,33
rest,129
saith,129
excellently,30
“it,9
shore,10
see,254
ships,19
tossed,6
sea,67
window,9
castle,3
battle,7
adventures,3
thereof,95
below,23
no,631
comparable,3
standing,12
vantage-ground,2
truth”,1
(a,3
hill,14
commanded,15
air,219
always,61
clear,57
serene),1
“and,4
errors,61
wanderings,3
mists,2
tempests,8
vale,5
”[50],1
prospect,9
pity,11
swelling,8
pride,11
heaven,53
earth,156
have,1335
man’s,185
move,44
charity,19
providence,30
turn,61
poles,10
pass,68
from,1093
theological,4
philosophical,11
civil,84
business,108
acknowledged,5
even,195
practise,13
round,29
dealing,8
honor,49
falsehood,7
alloy,1
coin,4
gold,59
silver,14
metal,18
better,183
embaseth,2
winding,2
crooked,5
courses,19
goings,1
serpent,8
goeth,18
basely,3
belly,9
feet,15
vice,19
cover,5
shame,5
perfidious,3
therefore,462
montaigne[51],1
prettily,3
inquired,27
why,27
word,48
disgrace,5
odious,7
charge,8
“if,10
weighed,9
say,121
lieth,11
brave,5
towards,107
coward,2
faces,11
shrinks,1
”,309
surely,35
wickedness,3
breach,7
faith,46
possibly,5
highly,9
expressed,28
shall,215
peal,1
call,124
generations,10
being,370
foretold,2
“christ,1
cometh,44
“find,1
”[52],1
[53],2
fear,36
death,78
children,52
go,75
dark,22
increased,22
tales,9
other,745
contemplation,49
wages,2
sin,12
passage,25
another,222
holy,34
religious,12
tribute,7
due,37
unto,165
weak,37
meditations,6
sometimes,140
vanity,19
superstition,33
you,367
read,44
some,767
friars’,1
books,79
mortification,3
himself,199
pain,17
finger’s,1
end,139
pressed,8
tortured,2
thereby,22
imagine,24
pains,17
whole,103
body,276
corrupted,13
dissolved,12
many,402
times,225
less,207
than,798
torture,7
limb,2
most,439
vital,4
parts,215
quickest,3
him,404
philosopher,15
“pompa,1
mortis,1
magis,1
terret,1
quam,13
mors,3
ipsa,4
”[54],1
groans,1
convulsions,3
discolored,2
friends,46
weeping,3
blacks[55],1
obsequies,1
terrible,3
worthy,58
observing,20
passion,26
mates,1
masters,10
enemy,16
hath,380
attendants,6
about,128
can,323
win,13
combat,4
revenge,21
over,162
slights,1
aspireth,4
grief,6
flieth,4
preoccupateth,1
nay,60
after,245
otho,1
emperor,10
had,398
slain,8
(which,99
tenderest,1
affections),1
provoked,2
die,21
mere,49
compassion,1
their,1318
truest,1
sort,90
followers,20
[56],1
seneca[57],1
adds,4
niceness,1
satiety,6
“cogita,1
quamdiu,2
eadem,2
feceris,1
mori,2
velle,2
non,50
tantum,4
fortis,3
aut,5
miser,1
sed,10
etiam,6
fastidiosus,2
potest,1
”[58],1
valiant,4
miserable,3
weariness,3
do,521
thing,150
oft,10
observe,61
how,203
little,236
alteration,12
spirits,66
approaches,10
appear,98
till,62
instant,9
augustus,21
cæsar,58
died,11
compliment,2
