word,frequency
﻿,1
from,2875
fairest,46
creatures,46
we,3535
desire,264
increase,32
that,11742
thereby,27
beauty’s,23
rose,79
might,554
never,1134
die,515
but,6747
as,6150
the,29542
riper,3
should,1697
by,4053
time,1114
decease,6
his,7559
tender,155
heir,109
bear,558
memory,61
thou,5823
contracted,11
to,20477
thine,500
own,808
bright,92
eyes,793
feed’st,2
thy,4353
light’s,1
flame,26
with,8460
self-substantial,1
fuel,5
making,90
a,13614
famine,12
where,1357
abundance,14
lies,268
self,143
foe,72
sweet,849
too,1335
cruel,71
art,979
now,2996
world’s,19
fresh,102
ornament,20
and,28231
only,328
herald,38
gaudy,9
spring,71
within,418
bud,22
buriest,1
content,175
churl,9
mak’st,6
waste,50
in,11947
niggarding,1
pity,229
world,667
or,2634
else,447
this,7096
glutton,5
be,7318
eat,149
due,85
grave,196
thee,3371
when,2210
forty,31
winters,11
shall,3832
besiege,11
brow,81
dig,10
deep,162
trenches,8
field,203
youth’s,3
proud,227
livery,27
so,5425
gazed,4
on,3292
will,5267
tattered,3
weed,22
of,17821
small,96
worth,228
held,91
then,2461
being,747
asked,9
all,4087
beauty,255
treasure,63
lusty,38
days,198
say,1742
sunken,3
were,1707
an,1875
all-eating,1
shame,346
thriftless,4
praise,190
how,2302
much,1091
more,2479
deserv’d,4
use,348
if,3751
couldst,31
answer,389
‘this,6
fair,835
child,245
mine,1253
sum,58
my,13160
count,110
make,1780
old,690
excuse,88
’,150
proving,2
succession,17
new,221
made,899
see,1535
blood,684
warm,48
feel’st,1
it,8128
cold,223
look,863
glass,71
tell,1109
face,477
viewest,2
is,9659
form,108
another,492
whose,693
repair,48
not,9009
renewest,1
dost,444
beguile,26
unbless,1
some,1436
mother,349
for,8120
she,2689
uneared,1
womb,57
disdains,6
tillage,1
husbandry,15
who,1338
he,6756
fond,64
tomb,51
self-love,8
stop,108
posterity,13
mother’s,20
calls,100
back,346
lovely,57
april,15
her,4575
prime,23
through,310
windows,20
age,222
shalt,319
despite,57
wrinkles,16
golden,106
live,553
remembered,7
single,61
image,55
dies,85
unthrifty,4
loveliness,2
why,1536
spend,73
upon,1845
legacy,6
nature’s,17
bequest,1
gives,151
nothing,670
doth,1082
lend,114
frank,11
lends,17
those,610
are,3696
free,199
beauteous,44
niggard,10
abuse,53
bounteous,19
largess,5
given,200
give,1414
profitless,3
usurer,9
great,960
sums,17
yet,1742
canst,191
having,180
traffic,11
alone,254
deceive,29
nature,368
gone,494
what,4736
acceptable,1
audit,9
leave,697
unused,4
must,1637
tombed,1
which,2551
used,29
lives,221
th’,60
executor,2
hours,145
gentle,395
work,189
did,1776
frame,49
gaze,31
every,528
eye,491
dwell,48
play,314
tyrants,10
very,851
same,252
unfair,1
fairly,47
excel,7
never-resting,1
leads,32
summer,59
hideous,23
winter,53
confounds,15
him,5488
there,1935
sap,15
checked,2
frost,13
leaves,79
quite,89
o’er-snowed,1
bareness,4
summer’s,16
distillation,2
left,271
liquid,9
prisoner,87
pent,8
walls,86
effect,72
bereft,22
nor,1055
no,4030
remembrance,63
was,2420
flowers,71
distilled,6
though,680
they,2650
meet,328
leese,1
their,2374
show,444
substance,42
still,629
let,2217
winter’s,6
ragged,25
hand,896
deface,5
ere,397
vial,5
place,485
self-killed,1
forbidden,5
usury,4
happies,1
pay,152
willing,42
loan,3
that’s,112
breed,56
ten,162
times,218
happier,18
one,1953
than,1961
refigured,1
could,681
death,920
do,3885
shouldst,77
depart,70
leaving,27
living,130
self-willed,1
death’s,13
conquest,35
worms,22
lo,80
orient,7
gracious,195
light,313
lifts,5
up,1140
burning,55
head,539
each,284
under,314
homage,17
new-appearing,2
sight,225
serving,7
looks,236
sacred,56
majesty,258
climbed,1
steep-up,2
heavenly,71
hill,42
resembling,7
strong,210
youth,295
middle,21
mortal,109
adore,16
attending,48
pilgrimage,18
highmost,2
pitch,32
weary,89
car,19
like,1922
feeble,32
reeleth,1
day,771
(fore,1
duteous),1
converted,7
low,102
tract,4
way,614
out-going,1
noon,18
unlooked,3
diest,23
unless,163
get,327
son,659
music,191
hear,907
hear’st,7
sadly,24
sweets,18
war,266
joy,213
delights,21
lov’st,12
receiv’st,2
gladly,16
pleasure,193
annoy,12
true,839
concord,9
well-tuned,1
sounds,52
unions,1
married,153
offend,63
ear,209
sweetly,35
chide,54
singleness,2
parts,119
mark,236
string,6
husband,306
strikes,31
mutual,17
ordering,3
sire,22
happy,214
pleasing,24
note,160
sing,160
speechless,15
song,64
many,607
seeming,64
sings,42
‘thou,2
wilt,330
prove,265
none’,1
fear,672
wet,25
widow’s,1
consum’st,1
life,919
ah,182
issueless,2
hap,28
wail,26
makeless,1
wife,499
widow,71
weep,178
hast,614
behind,127
private,74
well,2270
may,1787
keep,504
children’s,3
husband’s,8
shape,94
mind,377
unthrift,3
shifts,9
enjoys,7
hath,2052
end,337
kept,112
user,1
destroys,2
love,2248
toward,108
others,186
bosom,132
sits,64
himself,472
such,1528
murd’rous,4
commits,6
deny,137
bear’st,3
any,766
unprovident,1
grant,115
beloved,28
none,509
most,1239
evident,7
possessed,9
hate,183
’gainst,27
stick’st,1
conspire,8
seeking,24
